race_id,競輪場,レース番号,開始時間,best_bet,first,second,third,best_odds,best_p,max_EV
7420260222020006,高知競輪,6R,18:06,3-7-6,3,7,6,9999.9,0.004225013424740549,41.249711746063014
2720260223010002,京王閣競輪,2R,21:13,2-7-4,2,7,4,5544.8,0.007356850949464538,39.79226714459097
4520260223010004,豊橋競輪,4R,17:06,7-6-3,7,6,3,6790.6,0.00581234047395873,38.46927922246415
3520260223010005,平塚競輪,5R,22:36,5-4-2,5,4,2,3141.5,0.01180794171229689,36.09464888918068
2720260223010004,京王閣競輪,4R,22:01,6-5-7,6,5,7,9999.9,0.0035068170273702287,34.06781959199955
7420260222020005,高知競輪,5R,17:42,3-7-6,3,7,6,8034.1,0.004250338454509912,33.14764417737808
7420260222020004,高知競輪,4R,17:18,4-6-7,4,6,7,4208.7,0.008055597629381748,32.90359374277896
4520260223010011,豊橋競輪,11R,20:02,3-6-5,3,6,5,9942.5,0.0033744448800106966,32.55041821950635
2720260223010001,京王閣競輪,1R,20:49,6-7-4,6,7,4,5958.4,0.005578685093204957,32.24003725935241
6120260223010003,玉野競輪,3R,21:29,1-7-6,1,7,6,4690.9,0.006945363751340299,31.580006821162208
4520260223010009,豊橋競輪,9R,19:09,2-6-7,2,6,7,4257.6,0.007211062143754836,29.70181818325059
3120260222020007,松戸競輪,7R,10:55,3-6-4,3,6,4,8180.0,0.003362166461304987,26.502521653474794
2720260223010005,京王閣競輪,5R,22:27,6-7-2,6,7,2,9999.9,0.0026877801498642146,25.87753272062716
6120260223010004,玉野競輪,4R,21:53,6-7-2,6,7,2,9999.9,0.0025339941240103228,24.339687840690825
6320260221030011,防府競輪,11R,15:35,1-6-2,1,6,2,2865.0,0.008828363797773972,24.293262280622432
6120260223010005,玉野競輪,5R,22:18,5-4-6,5,4,6,9397.5,0.002471744342736524,22.228217460866485
2720260223010006,京王閣競輪,6R,22:54,2-7-6,2,7,6,9999.9,0.002261970268116523,21.61947648413842
4520260223010006,豊橋競輪,6R,17:54,5-6-1,5,6,1,5380.4,0.003815925738260169,19.531206842135013
6120260223010002,玉野競輪,2R,21:05,6-7-2,6,7,2,3742.4,0.005093262585272138,18.061025899122452
4520260223010008,豊橋競輪,8R,18:43,5-1-6,5,1,6,3956.6,0.004722604228495358,17.685455890464734
3520260223010002,平塚競輪,2R,21:21,2-7-6,2,7,6,6247.2,0.002924820254404176,17.271937093313767
3120260222020006,松戸競輪,6R,10:34,7-6-3,7,6,3,3683.6,0.004915121826208149,17.10534275902034
8720260220040002,熊本競輪,2R,11:10,6-4-3,6,4,3,9999.9,0.0017718368532585753,16.718191348900426
4520260223010002,豊橋競輪,2R,16:16,6-7-1,6,7,1,5672.4,0.0030945440670026,16.553491765665548
7420260222020003,高知競輪,3R,16:54,2-6-1,2,6,1,2237.6,0.007611826291630506,16.03222251015242
6120260223010007,玉野競輪,7R,23:12,5-2-6,5,2,6,2956.8,0.005679791520844783,15.794007568833855
7420260222020007,高知競輪,7R,18:30,5-6-4,5,6,4,2863.8,0.005286823403491844,14.140404862919942
3120260222020001,松戸競輪,1R,08:50,5-3-7,5,3,7,1272.7,0.01184327824021455,14.072940216321058
2720260223010003,京王閣競輪,3R,21:37,7-3-5,7,3,5,3273.4,0.004571153151206994,13.963212725160973
8720260220040005,熊本競輪,5R,12:35,3-8-4,3,8,4,8001.0,0.001845984910166685,13.769725266243647
6120260223010001,玉野競輪,1R,20:41,1-6-7,1,6,7,1960.5,0.007385218651807978,13.47872116686954
8720260220040008,熊本競輪,8R,14:05,2-4-5,2,4,5,1362.1,0.010612481118685966,13.455260531762153
3520260223010006,平塚競輪,6R,23:03,4-7-2,4,7,2,1995.7,0.007103689778422048,13.176833690796881
2720260223010007,京王閣競輪,7R,23:21,5-2-7,5,2,7,2154.5,0.006339393615057794,12.658223543642018
4520260223010001,豊橋競輪,1R,15:42,5-4-3,5,4,3,2083.7,0.006468995508533714,12.479445941131699
8720260220040011,熊本競輪,11R,15:50,9-4-6,9,4,6,2134.8,0.006273561305435686,12.392798674844103
6320260221030003,防府競輪,3R,11:47,5-6-3,5,6,3,1299.0,0.010131530997270478,12.16085876545435
6320260221030010,防府競輪,10R,15:00,2-6-7,2,6,7,1168.9,0.011196442998767252,12.087522221259041
6320260221030012,防府競輪,12R,16:10,2-6-4,2,6,4,3797.1,0.0034452465493175293,12.08194567241359
8720260220040012,熊本競輪,12R,16:30,8-2-3,8,2,3,4131.7,0.0031639085511671397,12.07232096085727
4520260223010010,豊橋競輪,10R,19:35,5-6-4,5,6,4,1496.2,0.008294459804129737,11.410170758938913
8720260220040010,熊本競輪,10R,15:15,2-4-7,2,4,7,2082.6,0.005908183953686743,11.304383901948011
8720260220040001,熊本競輪,1R,10:45,3-9-4,3,9,4,1903.3,0.006251613103025898,10.898695218989191
7420260222020009,高知競輪,9R,19:22,7-6-2,7,6,2,3229.5,0.0036522936278145105,10.795082271026962
3120260222020003,松戸競輪,3R,09:31,2-1-6,2,1,6,1560.9,0.007485623264233203,10.684309353141607
6120260223010006,玉野競輪,6R,22:45,6-5-7,6,5,7,7210.5,0.0016099333332435309,10.60842429935248
6320260221030009,防府競輪,9R,14:33,5-4-6,5,4,6,1156.6,0.0100227240132993,10.592282593781968
6320260221030007,防府競輪,7R,13:42,7-6-2,7,6,2,1431.9,0.008020169506585621,10.484080716479951
4520260223010007,豊橋競輪,7R,18:18,1-7-6,1,7,6,1949.3,0.005823716084708073,10.352169763921445
3520260223010004,平塚競輪,4R,22:09,6-5-7,6,5,7,3888.0,0.002814567524525927,9.943038535356804
7420260222020010,高知競輪,10R,19:48,6-4-5,6,4,5,4433.0,0.002465296366609399,9.928658793179466
4520260223010003,豊橋競輪,3R,16:42,6-1-4,6,1,4,3018.4,0.003351188336872675,9.115226876016482
6320260221030001,防府競輪,1R,11:00,7-5-6,7,5,6,975.4,0.010328457009197751,9.074376966771487
3120260222020004,松戸競輪,4R,09:52,3-5-7,3,5,7,6860.8,0.0014676282361238628,9.069103802398597
8720260220040003,熊本競輪,3R,11:35,2-5-1,2,5,1,1299.3,0.007711919512256987,9.020097022275502
6320260221030002,防府競輪,2R,11:23,4-5-7,4,5,7,2382.5,0.0041024957298259135,8.77419607631024
4520260223010005,豊橋競輪,5R,17:30,1-7-6,1,7,6,2876.7,0.0033161406259859605,8.539541738773812
6320260221030008,防府競輪,8R,14:10,5-1-6,5,1,6,1230.5,0.007419670867893282,8.129905002942683
7420260222020011,高知競輪,11R,20:16,7-6-1,7,6,1,971.5,0.009157859282118793,7.896860292578408
4520260223010012,豊橋競輪,12R,20:30,7-5-6,7,5,6,1788.7,0.004902003025189804,7.768212811157001
3520260223010001,平塚競輪,1R,20:57,3-7-6,3,7,6,2405.9,0.003627726909478372,7.727948171514015
3520260223010007,平塚競輪,7R,23:30,5-4-3,5,4,3,1381.3,0.006187399698624813,7.546655203710454
7420260222020008,高知競輪,8R,18:56,6-5-4,6,5,4,3342.7,0.0025432979802657994,7.501482158634488
3120260222020005,松戸競輪,5R,10:13,6-7-4,6,7,4,2611.1,0.0032438313688883513,7.469968087304373
3520260223010003,平塚競輪,3R,21:45,7-6-2,7,6,2,6532.4,0.001279767600935968,7.359953876354117
8720260220040004,熊本競輪,4R,12:05,3-5-4,3,5,4,1336.4,0.006049819819991288,7.0849792074363585
3120260222020002,松戸競輪,2R,09:10,4-5-2,4,5,2,879.7,0.009058540799412398,6.968798341243087
7420260222020001,高知競輪,1R,15:57,5-6-2,5,6,2,1789.1,0.004263179651721385,6.62725471489473
8720260220040006,熊本競輪,6R,13:05,5-4-3,5,4,3,1737.2,0.0039012286230785246,5.777214364012013
7420260222020002,高知競輪,2R,16:22,6-2-5,6,2,5,418.6,0.013905318474139358,4.820766313274736
8720260220040009,熊本競輪,9R,14:40,7-4-9,7,4,9,1136.1,0.005116883094548369,4.813290883716402
8720260220040007,熊本競輪,7R,13:35,9-4-3,9,4,3,1834.4,0.0030263439198737383,4.551525286616386
6320260221030005,防府競輪,5R,12:42,1-6-4,1,6,4,277.5,0.016985353801947826,3.7134356800405213
6320260221030004,防府競輪,4R,12:12,2-7-6,2,7,6,1006.8,0.00258708577209927,1.604677955349545
6320260221030006,防府競輪,6R,13:12,3-4-6,3,4,6,116.3,0.017631824819098457,1.0505812264611505
